,neighborhood,avg_sale_price_sqr_foot,avg_housing_units,avg_gross_rent
0,Union Square District,903.9932576720645,377427.5,2555.1666666666665
1,Merced Heights,788.8448175872469,380348.0,3414.0
2,Miraloma Park,779.810842264425,375967.25,2155.25
3,Pacific Heights,689.5558168113663,378401.0,2817.285714285714
4,Westwood Park,687.0875745178322,382295.0,3959.0
5,Telegraph Hill,676.5065775293255,378401.0,2817.285714285714
6,Presidio Heights,675.3502120510033,378401.0,2817.285714285714
7,Cow Hollow,665.9640415783227,378401.0,2817.285714285714
8,Potrero Hill,662.0136128276529,378401.0,2817.285714285714
9,South Beach,650.1244791945729,375805.0,2099.0
